"Version","Task","Concept","Att 1 - Conservation measure","Att 2 - Global coral coverage remaining in 50 years","Att 3 - Reef fish species at risk of extinction in 50 years","Att 4 - Contribution per year"
259,1,1,3,4,5,2
259,1,2,2,1,6,8
259,1,3,1,4,7,1
259,2,1,4,6,1,7
259,2,2,3,4,4,3
259,2,3,1,7,4,1
259,3,1,4,1,7,6
259,3,2,3,4,4,3
259,3,3,1,4,7,1
259,4,1,2,4,1,8
259,4,2,4,2,4,2
259,4,3,1,4,4,1
259,5,1,4,2,5,4
259,5,2,3,3,5,5
259,5,3,1,4,7,1
259,6,1,4,5,3,4
259,6,2,2,7,2,6
259,6,3,1,7,4,1
260,1,1,4,7,4,2
260,1,2,2,4,6,7
260,1,3,1,7,7,1
260,2,1,4,4,1,6
260,2,2,3,1,4,3
260,2,3,1,4,4,1
260,3,1,4,4,4,4
260,3,2,2,7,1,6
260,3,3,1,7,4,1
260,4,1,3,4,7,6
260,4,2,2,7,4,4
260,4,3,1,7,7,1
260,5,1,3,1,3,5
260,5,2,4,3,2,5
260,5,3,1,4,4,1
260,6,1,2,4,2,2
260,6,2,3,1,3,8
260,6,3,1,4,4,1
261,1,1,2,5,4,3
261,1,2,4,7,1,8
261,1,3,1,7,4,1
261,2,1,4,1,3,5
261,2,2,2,3,2,5
261,2,3,1,4,4,1
261,3,1,4,4,6,8
261,3,2,3,7,5,2
261,3,3,1,7,7,1
261,4,1,3,4,1,2
261,4,2,2,1,3,7
261,4,3,1,4,4,1
261,5,1,2,5,7,3
261,5,2,3,6,4,7
261,5,3,1,7,7,1
261,6,1,2,5,6,5
261,6,2,4,5,5,4
261,6,3,1,7,7,1
262,1,1,3,6,4,8
262,1,2,2,5,7,2
262,1,3,1,7,7,1
262,2,1,2,5,5,7
262,2,2,3,6,6,3
262,2,3,1,7,7,1
262,3,1,3,6,2,5
262,3,2,4,4,3,5
262,3,3,1,7,4,1
262,4,1,4,4,7,8
262,4,2,3,7,5,2
262,4,3,1,7,7,1
262,5,1,4,4,5,2
262,5,2,2,1,6,8
262,5,3,1,4,7,1
262,6,1,2,6,3,3
262,6,2,4,5,2,7
262,6,3,1,7,4,1
263,1,1,4,7,4,3
263,1,2,3,4,7,6
263,1,3,1,7,7,1
263,2,1,4,4,6,7
263,2,2,2,7,4,2
263,2,3,1,7,7,1
263,3,1,3,1,3,5
263,3,2,4,3,2,4
263,3,3,1,4,4,1
263,4,1,4,4,1,6
263,4,2,3,1,4,4
263,4,3,1,4,4,1
263,5,1,2,3,2,4
263,5,2,4,2,4,6
263,5,3,1,4,4,1
263,6,1,3,4,5,3
263,6,2,2,2,5,7
263,6,3,1,4,7,1
264,1,1,2,3,2,4
264,1,2,3,2,4,6
264,1,3,1,4,4,1
264,2,1,4,5,3,7
264,2,2,2,6,2,3
264,2,3,1,7,4,1
264,3,1,2,2,6,5
264,3,2,3,3,4,5
264,3,3,1,4,7,1
264,4,1,2,3,4,7
264,4,2,4,2,7,3
264,4,3,1,4,7,1
264,5,1,4,6,6,5
264,5,2,3,5,6,4
264,5,3,1,7,7,1
264,6,1,4,7,1,6
264,6,2,2,4,4,4
264,6,3,1,7,4,1
265,1,1,3,7,4,3
265,1,2,2,4,7,6
265,1,3,1,7,7,1
265,2,1,4,5,7,3
265,2,2,3,6,4,7
265,2,3,1,7,7,1
265,3,1,4,6,2,4
265,3,2,3,6,3,5
265,3,3,1,7,4,1
265,4,1,3,5,5,4
265,4,2,2,5,6,5
265,4,3,1,7,7,1
265,5,1,3,4,3,8
265,5,2,2,7,2,2
265,5,3,1,7,4,1
265,6,1,3,4,4,8
265,6,2,4,2,7,2
265,6,3,1,4,7,1
266,1,1,4,1,7,4
266,1,2,3,4,4,6
266,1,3,1,4,7,1
266,2,1,2,7,5,2
266,2,2,3,4,7,8
266,2,3,1,7,7,1
266,3,1,2,4,4,6
266,3,2,4,7,1,4
266,3,3,1,7,4,1
266,4,1,3,4,4,3
266,4,2,2,6,1,7
266,4,3,1,7,4,1
266,5,1,3,2,4,2
266,5,2,2,4,1,8
266,5,3,1,4,4,1
266,6,1,2,3,3,3
266,6,2,4,3,3,7
266,6,3,1,4,4,1
267,1,1,3,5,4,6
267,1,2,2,6,2,4
267,1,3,1,7,4,1
267,2,1,2,2,7,2
267,2,2,4,4,4,8
267,2,3,1,4,7,1
267,3,1,3,5,4,2
267,3,2,4,6,1,8
267,3,3,1,7,4,1
267,4,1,3,6,1,8
267,4,2,4,5,4,2
267,4,3,1,7,4,1
267,5,1,3,5,3,5
267,5,2,4,5,2,5
267,5,3,1,7,4,1
267,6,1,3,6,2,8
267,6,2,4,6,3,2
267,6,3,1,7,4,1
268,1,1,2,7,1,6
268,1,2,4,4,4,4
268,1,3,1,7,4,1
268,2,1,2,6,5,4
268,2,2,3,4,6,6
268,2,3,1,7,7,1
268,3,1,2,1,4,7
268,3,2,3,4,2,3
268,3,3,1,4,4,1
268,4,1,3,3,2,7
268,4,2,2,2,3,3
268,4,3,1,4,4,1
268,5,1,2,4,3,7
268,5,2,4,7,1,3
268,5,3,1,7,4,1
268,6,1,2,3,4,5
268,6,2,4,2,6,5
268,6,3,1,4,7,1
269,1,1,3,7,5,2
269,1,2,2,4,6,8
269,1,3,1,7,7,1
269,2,1,4,3,4,7
269,2,2,3,1,7,3
269,2,3,1,4,7,1
269,3,1,4,1,4,6
269,3,2,3,4,1,3
269,3,3,1,4,4,1
269,4,1,2,7,1,8
269,4,2,4,5,4,2
269,4,3,1,7,4,1
269,5,1,4,2,2,4
269,5,2,3,3,2,5
269,5,3,1,4,4,1
269,6,1,4,2,3,4
269,6,2,2,4,2,6
269,6,3,1,4,4,1
270,1,1,4,4,4,2
270,1,2,2,1,6,7
270,1,3,1,4,7,1
270,2,1,4,7,1,6
270,2,2,3,4,4,3
270,2,3,1,7,4,1
270,3,1,4,4,7,4
270,3,2,2,7,4,6
270,3,3,1,7,7,1
270,4,1,3,4,4,6
270,4,2,2,7,1,4
270,4,3,1,7,4,1
270,5,1,3,4,3,5
270,5,2,4,6,2,5
270,5,3,1,7,4,1
270,6,1,2,4,2,2
270,6,2,3,1,3,8
270,6,3,1,4,4,1
271,1,1,2,5,7,3
271,1,2,4,7,4,8
271,1,3,1,7,7,1
271,2,1,4,4,3,5
271,2,2,2,6,2,5
271,2,3,1,7,4,1
271,3,1,4,4,3,8
271,3,2,3,7,2,2
271,3,3,1,7,4,1
271,4,1,3,7,1,2
271,4,2,2,4,3,7
271,4,3,1,7,4,1
271,5,1,2,5,4,3
271,5,2,3,6,1,7
271,5,3,1,7,4,1
271,6,1,2,2,6,5
271,6,2,4,2,5,4
271,6,3,1,4,7,1
272,1,1,3,3,1,8
272,1,2,2,2,4,2
272,1,3,1,4,4,1
272,2,1,2,5,2,7
272,2,2,3,6,3,3
272,2,3,1,7,4,1
272,3,1,3,6,2,5
272,3,2,4,4,3,5
272,3,3,1,7,4,1
272,4,1,4,1,7,8
272,4,2,3,4,5,2
272,4,3,1,4,7,1
272,5,1,4,4,2,2
272,5,2,2,1,3,8
272,5,3,1,4,4,1
272,6,1,2,3,3,3
272,6,2,4,2,2,7
272,6,3,1,4,4,1
273,1,1,4,7,1,3
273,1,2,3,4,4,6
273,1,3,1,7,4,1
273,2,1,4,4,6,7
273,2,2,2,7,4,2
273,2,3,1,7,7,1
273,3,1,3,1,6,5
273,3,2,4,3,5,4
273,3,3,1,4,7,1
273,4,1,4,7,1,6
273,4,2,3,4,4,4
273,4,3,1,7,4,1
273,5,1,2,6,5,4
273,5,2,4,5,7,6
273,5,3,1,7,7,1
273,6,1,3,4,2,3
273,6,2,2,2,2,7
273,6,3,1,4,4,1
274,1,1,2,3,5,4
274,1,2,3,2,7,6
274,1,3,1,4,7,1
274,2,1,4,5,6,7
274,2,2,2,6,5,3
274,2,3,1,7,7,1
274,3,1,2,2,3,5
274,3,2,3,3,1,5
274,3,3,1,4,4,1
274,4,1,2,3,4,7
274,4,2,4,2,7,3
274,4,3,1,4,7,1
274,5,1,4,3,3,5
274,5,2,3,2,3,4
274,5,3,1,4,4,1
274,6,1,4,7,4,6
274,6,2,2,4,7,4
274,6,3,1,7,7,1
275,1,1,3,4,1,3
275,1,2,2,1,4,6
275,1,3,1,4,4,1
275,2,1,4,5,4,3
275,2,2,3,6,1,7
275,2,3,1,7,4,1
275,3,1,4,6,2,4
275,3,2,3,6,3,5
275,3,3,1,7,4,1
275,4,1,3,5,2,4
275,4,2,2,5,3,5
275,4,3,1,7,4,1
275,5,1,3,1,3,8
275,5,2,2,4,2,2
275,5,3,1,4,4,1
275,6,1,3,4,4,8
275,6,2,4,2,7,2
275,6,3,1,4,7,1
276,1,1,4,4,7,4
276,1,2,3,7,4,6
276,1,3,1,7,7,1
276,2,1,2,4,2,2
276,2,2,3,1,4,8
276,2,3,1,4,4,1
276,3,1,2,4,4,6
276,3,2,4,7,1,4
276,3,3,1,7,4,1
276,4,1,3,4,4,3
276,4,2,2,6,1,7
276,4,3,1,7,4,1
276,5,1,3,5,7,2
276,5,2,2,7,4,8
276,5,3,1,7,7,1
276,6,1,2,6,6,3
276,6,2,4,6,6,7
276,6,3,1,7,7,1
277,1,1,3,5,7,6
277,1,2,2,6,5,4
277,1,3,1,7,7,1
277,2,1,2,5,7,2
277,2,2,4,7,4,8
277,2,3,1,7,7,1
277,3,1,3,2,4,2
277,3,2,4,3,1,8
277,3,3,1,4,4,1
277,4,1,3,6,4,8
277,4,2,4,5,7,2
277,4,3,1,7,7,1
277,5,1,3,5,3,5
277,5,2,4,5,2,5
277,5,3,1,7,4,1
277,6,1,3,6,2,8
277,6,2,4,6,3,2
277,6,3,1,7,4,1
278,1,1,2,7,4,6
278,1,2,4,4,7,4
278,1,3,1,7,7,1
278,2,1,2,3,2,4
278,2,2,3,1,3,6
278,2,3,1,4,4,1
278,3,1,2,4,4,7
278,3,2,3,7,2,3
278,3,3,1,7,4,1
278,4,1,3,6,5,7
278,4,2,2,5,6,3
278,4,3,1,7,7,1
278,5,1,2,1,6,7
278,5,2,4,4,4,3
278,5,3,1,4,7,1
278,6,1,2,3,1,5
278,6,2,4,2,3,5
278,6,3,1,4,4,1
279,1,1,3,4,5,2
279,1,2,2,1,6,8
279,1,3,1,4,7,1
279,2,1,4,3,1,7
279,2,2,3,1,4,3
279,2,3,1,4,4,1
279,3,1,4,4,4,6
279,3,2,3,7,1,3
279,3,3,1,7,4,1
279,4,1,2,4,4,8
279,4,2,4,2,7,2
279,4,3,1,4,7,1
279,5,1,4,2,2,4
279,5,2,3,3,2,5
279,5,3,1,4,4,1
279,6,1,4,5,6,4
279,6,2,2,7,5,6
279,6,3,1,7,7,1
280,1,1,4,4,4,2
280,1,2,2,1,6,7
280,1,3,1,4,7,1
280,2,1,4,4,1,6
280,2,2,3,1,4,3
280,2,3,1,4,4,1
280,3,1,4,4,4,4
280,3,2,2,7,1,6
280,3,3,1,7,4,1
280,4,1,3,4,7,6
280,4,2,2,7,4,4
280,4,3,1,7,7,1
280,5,1,3,1,6,5
280,5,2,4,3,5,5
280,5,3,1,4,7,1
280,6,1,2,7,2,2
280,6,2,3,4,3,8
280,6,3,1,7,4,1
281,1,1,2,2,7,3
281,1,2,4,4,4,8
281,1,3,1,4,7,1
281,2,1,4,4,3,5
281,2,2,2,6,2,5
281,2,3,1,7,4,1
281,3,1,4,1,3,8
281,3,2,3,4,2,2
281,3,3,1,4,4,1
281,4,1,3,7,4,2
281,4,2,2,4,6,7
281,4,3,1,7,7,1
281,5,1,2,2,4,3
281,5,2,3,3,1,7
281,5,3,1,4,4,1
281,6,1,2,2,6,5
281,6,2,4,2,5,4
281,6,3,1,4,7,1
282,1,1,3,6,1,8
282,1,2,2,5,4,2
282,1,3,1,7,4,1
282,2,1,2,2,5,7
282,2,2,3,3,6,3
282,2,3,1,4,7,1
282,3,1,3,3,2,5
282,3,2,4,1,3,5
282,3,3,1,4,4,1
282,4,1,4,1,7,8
282,4,2,3,4,5,2
282,4,3,1,4,7,1
282,5,1,4,7,5,2
282,5,2,2,4,6,8
282,5,3,1,7,7,1
282,6,1,2,6,6,3
282,6,2,4,5,5,7
282,6,3,1,7,7,1
283,1,1,4,7,4,3
283,1,2,3,4,7,6
283,1,3,1,7,7,1
283,2,1,4,4,6,7
283,2,2,2,7,4,2
283,2,3,1,7,7,1
283,3,1,3,1,6,5
283,3,2,4,3,5,4
283,3,3,1,4,7,1
283,4,1,4,4,4,6
283,4,2,3,1,7,4
283,4,3,1,4,7,1
283,5,1,2,3,2,4
283,5,2,4,2,4,6
283,5,3,1,4,4,1
283,6,1,3,4,5,3
283,6,2,2,2,5,7
283,6,3,1,4,7,1
284,1,1,2,3,5,4
284,1,2,3,2,7,6
284,1,3,1,4,7,1
284,2,1,4,2,3,7
284,2,2,2,3,2,3
284,2,3,1,4,4,1
284,3,1,2,5,3,5
284,3,2,3,6,1,5
284,3,3,1,7,4,1
284,4,1,2,6,4,7
284,4,2,4,5,7,3
284,4,3,1,7,7,1
284,5,1,4,3,3,5
284,5,2,3,2,3,4
284,5,3,1,4,4,1
284,6,1,4,4,1,6
284,6,2,2,1,4,4
284,6,3,1,4,4,1
285,1,1,3,4,1,3
285,1,2,2,1,4,6
285,1,3,1,4,4,1
285,2,1,4,2,4,3
285,2,2,3,3,1,7
285,2,3,1,4,4,1
285,3,1,4,3,2,4
285,3,2,3,3,3,5
285,3,3,1,4,4,1
285,4,1,3,5,2,4
285,4,2,2,5,3,5
285,4,3,1,7,4,1
285,5,1,3,4,3,8
285,5,2,2,7,2,2
285,5,3,1,7,4,1
285,6,1,3,7,4,8
285,6,2,4,5,7,2
285,6,3,1,7,7,1
286,1,1,4,1,7,4
286,1,2,3,4,4,6
286,1,3,1,4,7,1
286,2,1,2,7,2,2
286,2,2,3,4,4,8
286,2,3,1,7,4,1
286,3,1,2,4,7,6
286,3,2,4,7,4,4
286,3,3,1,7,7,1
286,4,1,3,1,4,3
286,4,2,2,3,1,7
286,4,3,1,4,4,1
286,5,1,3,5,4,2
286,5,2,2,7,1,8
286,5,3,1,7,4,1
286,6,1,2,3,6,3
286,6,2,4,3,6,7
286,6,3,1,4,7,1
287,1,1,3,5,7,6
287,1,2,2,6,5,4
287,1,3,1,7,7,1
287,2,1,2,2,4,2
287,2,2,4,4,1,8
287,2,3,1,4,4,1
287,3,1,3,2,7,2
287,3,2,4,3,4,8
287,3,3,1,4,7,1
287,4,1,3,6,1,8
287,4,2,4,5,4,2
287,4,3,1,7,4,1
287,5,1,3,2,6,5
287,5,2,4,2,5,5
287,5,3,1,4,7,1
287,6,1,3,6,2,8
287,6,2,4,6,3,2
287,6,3,1,7,4,1
288,1,1,2,7,1,6
288,1,2,4,4,4,4
288,1,3,1,7,4,1
288,2,1,2,3,5,4
288,2,2,3,1,6,6
288,2,3,1,4,7,1
288,3,1,2,4,7,7
288,3,2,3,7,5,3
288,3,3,1,7,7,1
288,4,1,3,6,5,7
288,4,2,2,5,6,3
288,4,3,1,7,7,1
288,5,1,2,1,6,7
288,5,2,4,4,4,3
288,5,3,1,4,7,1
288,6,1,2,6,1,5
288,6,2,4,5,3,5
288,6,3,1,7,4,1
289,1,1,3,7,5,2
289,1,2,2,4,6,8
289,1,3,1,7,7,1
289,2,1,4,3,4,7
289,2,2,3,1,7,3
289,2,3,1,4,7,1
289,3,1,4,1,4,6
289,3,2,3,4,1,3
289,3,3,1,4,4,1
289,4,1,2,7,4,8
289,4,2,4,5,7,2
289,4,3,1,7,7,1
289,5,1,4,2,2,4
289,5,2,3,3,2,5
289,5,3,1,4,4,1
289,6,1,4,2,6,4
289,6,2,2,4,5,6
289,6,3,1,4,7,1
290,1,1,4,4,1,2
290,1,2,2,1,3,7
290,1,3,1,4,4,1
290,2,1,4,7,1,6
290,2,2,3,4,4,3
290,2,3,1,7,4,1
290,3,1,4,4,4,4
290,3,2,2,7,1,6
290,3,3,1,7,4,1
290,4,1,3,4,4,6
290,4,2,2,7,1,4
290,4,3,1,7,4,1
290,5,1,3,1,3,5
290,5,2,4,3,2,5
290,5,3,1,4,4,1
290,6,1,2,7,5,2
290,6,2,3,4,6,8
290,6,3,1,7,7,1
291,1,1,2,2,4,3
291,1,2,4,4,1,8
291,1,3,1,4,4,1
291,2,1,4,1,3,5
291,2,2,2,3,2,5
291,2,3,1,4,4,1
291,3,1,4,1,6,8
291,3,2,3,4,5,2
291,3,3,1,4,7,1
291,4,1,3,7,4,2
291,4,2,2,4,6,7
291,4,3,1,7,7,1
291,5,1,2,2,4,3
291,5,2,3,3,1,7
291,5,3,1,4,4,1
291,6,1,2,5,6,5
291,6,2,4,5,5,4
291,6,3,1,7,7,1
292,1,1,3,3,1,8
292,1,2,2,2,4,2
292,1,3,1,4,4,1
292,2,1,2,2,2,7
292,2,2,3,3,3,3
292,2,3,1,4,4,1
292,3,1,3,3,2,5
292,3,2,4,1,3,5
292,3,3,1,4,4,1
292,4,1,4,1,7,8
292,4,2,3,4,5,2
292,4,3,1,4,7,1
292,5,1,4,7,5,2
292,5,2,2,4,6,8
292,5,3,1,7,7,1
292,6,1,2,6,6,3
292,6,2,4,5,5,7
292,6,3,1,7,7,1
293,1,1,4,4,4,3
293,1,2,3,1,7,6
293,1,3,1,4,7,1
293,2,1,4,1,3,7
293,2,2,2,4,1,2
293,2,3,1,4,4,1
293,3,1,3,1,6,5
293,3,2,4,3,5,4
293,3,3,1,4,7,1
293,4,1,4,4,1,6
293,4,2,3,1,4,4
293,4,3,1,4,4,1
293,5,1,2,3,5,4
293,5,2,4,2,7,6
293,5,3,1,4,7,1
293,6,1,3,4,2,3
293,6,2,2,2,2,7
293,6,3,1,4,4,1
294,1,1,2,6,2,4
294,1,2,3,5,4,6
294,1,3,1,7,4,1
294,2,1,4,5,3,7
294,2,2,2,6,2,3
294,2,3,1,7,4,1
294,3,1,2,5,6,5
294,3,2,3,6,4,5
294,3,3,1,7,7,1
294,4,1,2,6,4,7
294,4,2,4,5,7,3
294,4,3,1,7,7,1
294,5,1,4,6,3,5
294,5,2,3,5,3,4
294,5,3,1,7,4,1
294,6,1,4,7,1,6
294,6,2,2,4,4,4
294,6,3,1,7,4,1
295,1,1,3,7,4,3
295,1,2,2,4,7,6
295,1,3,1,7,7,1
295,2,1,4,2,4,3
295,2,2,3,3,1,7
295,2,3,1,4,4,1
295,3,1,4,6,5,4
295,3,2,3,6,6,5
295,3,3,1,7,7,1
295,4,1,3,2,5,4
295,4,2,2,2,6,5
295,4,3,1,4,7,1
295,5,1,3,4,6,8
295,5,2,2,7,5,2
295,5,3,1,7,7,1
295,6,1,3,4,4,8
295,6,2,4,2,7,2
295,6,3,1,4,7,1
296,1,1,4,4,4,4
296,1,2,3,7,1,6
296,1,3,1,7,4,1
296,2,1,2,7,5,2
296,2,2,3,4,7,8
296,2,3,1,7,7,1
296,3,1,2,1,7,6
296,3,2,4,4,4,4
296,3,3,1,4,7,1
296,4,1,3,4,7,3
296,4,2,2,6,4,7
296,4,3,1,7,7,1
296,5,1,3,5,7,2
296,5,2,2,7,4,8
296,5,3,1,7,7,1
296,6,1,2,3,3,3
296,6,2,4,3,3,7
296,6,3,1,4,4,1
297,1,1,3,5,4,6
297,1,2,2,6,2,4
297,1,3,1,7,4,1
297,2,1,2,2,7,2
297,2,2,4,4,4,8
297,2,3,1,4,7,1
297,3,1,3,2,7,2
297,3,2,4,3,4,8
297,3,3,1,4,7,1
297,4,1,3,3,4,8
297,4,2,4,2,7,2
297,4,3,1,4,7,1
297,5,1,3,5,3,5
297,5,2,4,5,2,5
297,5,3,1,7,4,1
297,6,1,3,6,2,8
297,6,2,4,6,3,2
297,6,3,1,7,4,1
298,1,1,2,7,1,6
298,1,2,4,4,4,4
298,1,3,1,7,4,1
298,2,1,2,3,5,4
298,2,2,3,1,6,6
298,2,3,1,4,7,1
298,3,1,2,4,4,7
298,3,2,3,7,2,3
298,3,3,1,7,4,1
298,4,1,3,3,2,7
298,4,2,2,2,3,3
298,4,3,1,4,4,1
298,5,1,2,1,6,7
298,5,2,4,4,4,3
298,5,3,1,4,7,1
298,6,1,2,6,4,5
298,6,2,4,5,6,5
298,6,3,1,7,7,1
299,1,1,3,7,5,2
299,1,2,2,4,6,8
299,1,3,1,7,7,1
299,2,1,4,6,1,7
299,2,2,3,4,4,3
299,2,3,1,7,4,1
299,3,1,4,1,7,6
299,3,2,3,4,4,3
299,3,3,1,4,7,1
299,4,1,2,7,1,8
299,4,2,4,5,4,2
299,4,3,1,7,4,1
299,5,1,4,2,2,4
299,5,2,3,3,2,5
299,5,3,1,4,4,1
299,6,1,4,2,6,4
299,6,2,2,4,5,6
299,6,3,1,4,7,1
300,1,1,4,7,4,2
300,1,2,2,4,6,7
300,1,3,1,7,7,1
300,2,1,4,7,1,6
300,2,2,3,4,4,3
300,2,3,1,7,4,1
300,3,1,4,1,7,4
300,3,2,2,4,4,6
300,3,3,1,4,7,1
300,4,1,3,1,4,6
300,4,2,2,4,1,4
300,4,3,1,4,4,1
300,5,1,3,1,6,5
300,5,2,4,3,5,5
300,5,3,1,4,7,1
300,6,1,2,4,5,2
300,6,2,3,1,6,8
300,6,3,1,4,7,1
301,1,1,2,5,4,3
301,1,2,4,7,1,8
301,1,3,1,7,4,1
301,2,1,4,4,3,5
301,2,2,2,6,2,5
301,2,3,1,7,4,1
301,3,1,4,1,6,8
301,3,2,3,4,5,2
301,3,3,1,4,7,1
301,4,1,3,7,1,2
301,4,2,2,4,3,7
301,4,3,1,7,4,1
301,5,1,2,5,7,3
301,5,2,3,6,4,7
301,5,3,1,7,7,1
301,6,1,2,2,3,5
301,6,2,4,2,2,4
301,6,3,1,4,4,1
302,1,1,3,3,1,8
302,1,2,2,2,4,2
302,1,3,1,4,4,1
302,2,1,2,5,5,7
302,2,2,3,6,6,3
302,2,3,1,7,7,1
302,3,1,3,6,2,5
302,3,2,4,4,3,5
302,3,3,1,7,4,1
302,4,1,4,4,4,8
302,4,2,3,7,2,2
302,4,3,1,7,4,1
302,5,1,4,4,2,2
302,5,2,2,1,3,8
302,5,3,1,4,4,1
302,6,1,2,3,3,3
302,6,2,4,2,2,7
302,6,3,1,4,4,1
303,1,1,4,7,1,3
303,1,2,3,4,4,6
303,1,3,1,7,4,1
303,2,1,4,4,3,7
303,2,2,2,7,1,2
303,2,3,1,7,4,1
303,3,1,3,1,6,5
303,3,2,4,3,5,4
303,3,3,1,4,7,1
303,4,1,4,4,1,6
303,4,2,3,1,4,4
303,4,3,1,4,4,1
303,5,1,2,3,5,4
303,5,2,4,2,7,6
303,5,3,1,4,7,1
303,6,1,3,7,2,3
303,6,2,2,5,2,7
303,6,3,1,7,4,1
304,1,1,2,6,2,4
304,1,2,3,5,4,6
304,1,3,1,7,4,1
304,2,1,4,2,6,7
304,2,2,2,3,5,3
304,2,3,1,4,7,1
304,3,1,2,2,6,5
304,3,2,3,3,4,5
304,3,3,1,4,7,1
304,4,1,2,3,1,7
304,4,2,4,2,4,3
304,4,3,1,4,4,1
304,5,1,4,6,6,5
304,5,2,3,5,6,4
304,5,3,1,7,7,1
304,6,1,4,7,1,6
304,6,2,2,4,4,4
304,6,3,1,7,4,1
305,1,1,3,4,4,3
305,1,2,2,1,7,6
305,1,3,1,4,7,1
305,2,1,4,5,4,3
305,2,2,3,6,1,7
305,2,3,1,7,4,1
305,3,1,4,3,5,4
305,3,2,3,3,6,5
305,3,3,1,4,7,1
305,4,1,3,2,5,4
305,4,2,2,2,6,5
305,4,3,1,4,7,1
305,5,1,3,4,3,8
305,5,2,2,7,2,2
305,5,3,1,7,4,1
305,6,1,3,7,1,8
305,6,2,4,5,4,2
305,6,3,1,7,4,1
306,1,1,4,1,7,4
306,1,2,3,4,4,6
306,1,3,1,4,7,1
306,2,1,2,7,2,2
306,2,2,3,4,4,8
306,2,3,1,7,4,1
306,3,1,2,4,4,6
306,3,2,4,7,1,4
306,3,3,1,7,4,1
306,4,1,3,4,7,3
306,4,2,2,6,4,7
306,4,3,1,7,7,1
306,5,1,3,5,7,2
306,5,2,2,7,4,8
306,5,3,1,7,7,1
306,6,1,2,6,3,3
306,6,2,4,6,3,7
306,6,3,1,7,4,1
307,1,1,3,2,7,6
307,1,2,2,3,5,4
307,1,3,1,4,7,1
307,2,1,2,2,4,2
307,2,2,4,4,1,8
307,2,3,1,4,4,1
307,3,1,3,2,4,2
307,3,2,4,3,1,8
307,3,3,1,4,4,1
307,4,1,3,3,4,8
307,4,2,4,2,7,2
307,4,3,1,4,7,1
307,5,1,3,2,6,5
307,5,2,4,2,5,5
307,5,3,1,4,7,1
307,6,1,3,6,5,8
307,6,2,4,6,6,2
307,6,3,1,7,7,1
308,1,1,2,4,4,6
308,1,2,4,1,7,4
308,1,3,1,4,7,1
308,2,1,2,6,2,4
308,2,2,3,4,3,6
308,2,3,1,7,4,1
308,3,1,2,4,7,7
308,3,2,3,7,5,3
308,3,3,1,7,7,1
308,4,1,3,3,5,7
308,4,2,2,2,6,3
308,4,3,1,4,7,1
308,5,1,2,1,3,7
308,5,2,4,4,1,3
308,5,3,1,4,4,1
308,6,1,2,3,4,5
308,6,2,4,2,6,5
308,6,3,1,4,7,1
309,1,1,3,7,2,2
309,1,2,2,4,3,8
309,1,3,1,7,4,1
309,2,1,4,6,1,7
309,2,2,3,4,4,3
309,2,3,1,7,4,1
309,3,1,4,1,4,6
309,3,2,3,4,1,3
309,3,3,1,4,4,1
309,4,1,2,4,1,8
309,4,2,4,2,4,2
309,4,3,1,4,4,1
309,5,1,4,2,2,4
309,5,2,3,3,2,5
309,5,3,1,4,4,1
309,6,1,4,2,3,4
309,6,2,2,4,2,6
309,6,3,1,4,4,1
310,1,1,4,4,4,2
310,1,2,2,1,6,7
310,1,3,1,4,7,1
310,2,1,4,4,4,6
310,2,2,3,1,7,3
310,2,3,1,4,7,1
310,3,1,4,4,4,4
310,3,2,2,7,1,6
310,3,3,1,7,4,1
310,4,1,3,4,7,6
310,4,2,2,7,4,4
310,4,3,1,7,7,1
310,5,1,3,4,6,5
310,5,2,4,6,5,5
310,5,3,1,7,7,1
310,6,1,2,4,2,2
310,6,2,3,1,3,8
310,6,3,1,4,4,1
311,1,1,2,2,7,3
311,1,2,4,4,4,8
311,1,3,1,4,7,1
311,2,1,4,4,3,5
311,2,2,2,6,2,5
311,2,3,1,7,4,1
311,3,1,4,1,3,8
311,3,2,3,4,2,2
311,3,3,1,4,4,1
311,4,1,3,4,1,2
311,4,2,2,1,3,7
311,4,3,1,4,4,1
311,5,1,2,5,4,3
311,5,2,3,6,1,7
311,5,3,1,7,4,1
311,6,1,2,5,3,5
311,6,2,4,5,2,4
311,6,3,1,7,4,1
312,1,1,3,6,1,8
312,1,2,2,5,4,2
312,1,3,1,7,4,1
312,2,1,2,5,5,7
312,2,2,3,6,6,3
312,2,3,1,7,7,1
312,3,1,3,3,2,5
312,3,2,4,1,3,5
312,3,3,1,4,4,1
312,4,1,4,1,7,8
312,4,2,3,4,5,2
312,4,3,1,4,7,1
312,5,1,4,7,5,2
312,5,2,2,4,6,8
312,5,3,1,7,7,1
312,6,1,2,6,3,3
312,6,2,4,5,2,7
312,6,3,1,7,4,1
313,1,1,4,7,1,3
313,1,2,3,4,4,6
313,1,3,1,7,4,1
313,2,1,4,1,6,7
313,2,2,2,4,4,2
313,2,3,1,4,7,1
313,3,1,3,1,3,5
313,3,2,4,3,2,4
313,3,3,1,4,4,1
313,4,1,4,7,4,6
313,4,2,3,4,7,4
313,4,3,1,7,7,1
313,5,1,2,6,2,4
313,5,2,4,5,4,6
313,5,3,1,7,4,1
313,6,1,3,7,2,3
313,6,2,2,5,2,7
313,6,3,1,7,4,1
314,1,1,2,3,5,4
314,1,2,3,2,7,6
314,1,3,1,4,7,1
